Company Name,Industry,Symbol,Series,ISIN Code,BSE_Ticker,Ticker
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019,539437,IDFCFIRSTB.NS
IDFC Ltd.,Financial Services,IDFC,EQ,INE043D01016,532659,IDFC.NS
IFB Industries Ltd.,Consumer Durables,IFBIND,EQ,INE559A01017,505726,IFBIND.NS
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024,532636,IIFL.NS
IIFL Wealth Management Ltd.,Financial Services,IIFLWAM,EQ,INE466L01020,542772,IIFLWAM.NS
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01014,532947,IRB.NS
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021,541956,IRCON.NS
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,500875,ITC.NS
ITI Ltd.,Telecommunication,ITI,EQ,INE248A01017,523610,ITI.NS
India Cements Ltd.,Construction Materials,INDIACEM,EQ,INE383A01012,530005,INDIACEM.NS
Indiabulls Housing Finance Ltd.,Financial Services,IBULHSGFIN,EQ,INE148I01020,535789,IBULHSGFIN.NS
Indiabulls Real Estate Ltd.,Realty,IBREALEST,EQ,INE069I01010,532832,IBREALEST.NS
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016,542726,INDIAMART.NS
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011,532814,INDIANB.NS
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020,540750,IEX.NS
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029,500850,INDHOTEL.NS
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,530965,IOC.NS
Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014,532388,IOB.NS
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,542830,IRCTC.NS
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010,543257,IRFC.NS
Indigo Paints Ltd.,Consumer Durables,INDIGOPNTS,EQ,INE09VQ01012,543258,INDIGOPNTS.NS
Indo Count Industries Ltd.,Textiles,ICIL,EQ,INE483B01026,521016,ICIL.NS
Indoco Remedies Ltd.,Healthcare,INDOCO,EQ,INE873D01024,532612,INDOCO.NS
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027,532514,IGL.NS
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017,534816,INDUSTOWER.NS
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,532187,INDUSINDBK.NS
Infibeam Avenues Ltd.,Information Technology,INFIBEAM,EQ,INE483S01020,539807,INFIBEAM.NS
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01024,532777,NAUKRI.NS
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,500209,INFY.NS
Inox Leisure Ltd.,Media Entertainment & Publication,INOXLEISUR,EQ,INE312H01016,532706,INOXLEISUR.NS
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017,538835,INTELLECT.NS
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,539448,INDIGO.NS
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038,524494,IPCALAB.NS
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01028,506943,JBCHEPHARM.NS
J.K. Cement Ltd.,Construction Materials,JKCEMENT,EQ,INE823G01014,532644,JKCEMENT.NS
JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI,EQ,INE786A01032,500380,JKLAKSHMI.NS
JK Paper Ltd.,Forest Materials,JKPAPER,EQ,INE789E01012,532162,JKPAPER.NS
JM Financial Ltd.,Financial Services,JMFINANCIL,EQ,INE780C01023,523405,JMFINANCIL.NS
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018,533148,JSWENERGY.NS
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,500228,JSWSTEEL.NS
Jamna Auto Industries Ltd.,Automobile and Auto Components,JAMNAAUTO,EQ,INE039C01032,520051,JAMNAAUTO.NS
Jindal Stainless (Hisar) Ltd.,Capital Goods,JSLHISAR,EQ,INE455T01018,539597,JSLHISAR.NS
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021,532508,JSL.NS
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030,532286,JINDALSTEL.NS
