Company Name,Symbol,NSE Ticker
SRF Ltd.,SRF,SRF.NS
Sanofi India Ltd.,SANOFI,SANOFI.NS
Sapphire Foods India Ltd.,SAPPHIRE,SAPPHIRE.NS
Saregama India Ltd,SAREGAMA,SAREGAMA.NS
Schaeffler India Ltd.,SCHAEFFLER,SCHAEFFLER.NS
Sequent Scientific Ltd.,SEQUENT,SEQUENT.NS
Sheela Foam Ltd.,SFL,SFL.NS
Shilpa Medicare Ltd.,SHILPAMED,SHILPAMED.NS
Shipping Corporation of India Ltd.,SCI,SCI.NS
Shree Cement Ltd.,SHREECEM,SHREECEM.NS
Shree Renuka Sugars Ltd.,RENUKA,RENUKA.NS
Shriram City Union Finance Ltd.,SHRIRAMCIT,SHRIRAMCIT.NS
Shriram Transport Finance Co. Ltd.,SRTRANSFIN,SRTRANSFIN.NS
Shyam Metalics and Energy Ltd.,SHYAMMETL,SHYAMMETL.NS
Siemens Ltd.,SIEMENS,SIEMENS.NS
Sobha Ltd.,SOBHA,SOBHA.NS
Solar Industries India Ltd.,SOLARINDS,SOLARINDS.NS
Solara Active Pharma Sciences Ltd.,SOLARA,SOLARA.NS
Sona BLW Precision Forgings Ltd.,SONACOMS,SONACOMS.NS
Sonata Software Ltd.,SONATSOFTW,SONATSOFTW.NS
Spicejet Ltd.,SPICEJET,SPICEJET.NS
Star Health and Allied Insurance Company Ltd.,STARHEALTH,STARHEALTH.NS
State Bank of India,SBIN,SBIN.NS
Steel Authority of India Ltd.,SAIL,SAIL.NS
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,SWSOLAR.NS
Sterlite Technologies Ltd.,STLTECH,STLTECH.NS
Strides Pharma Science Ltd.,STAR,STAR.NS
Sudarshan Chemical Industries Ltd.,SUDARSCHEM,SUDARSCHEM.NS
Sumitomo Chemical India Ltd.,SUMICHEM,SUMICHEM.NS
Sun Pharma Advanced Research Company Ltd.,SPARC,SPARC.NS
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,SUNPHARMA.NS
Sun TV Network Ltd.,SUNTV,SUNTV.NS
Sundaram Finance Ltd.,SUNDARMFIN,SUNDARMFIN.NS
Sundram Fasteners Ltd.,SUNDRMFAST,SUNDRMFAST.NS
Sunteck Realty Ltd.,SUNTECK,SUNTECK.NS
Suprajit Engineering Ltd.,SUPRAJIT,SUPRAJIT.NS
Supreme Industries Ltd.,SUPREMEIND,SUPREMEIND.NS
Suven Pharmaceuticals Ltd.,SUVENPHAR,SUVENPHAR.NS
Suzlon Energy Ltd.,SUZLON,SUZLON.NS
Symphony Ltd.,SYMPHONY,SYMPHONY.NS
Syngene International Ltd.,SYNGENE,SYNGENE.NS
TCI Express Ltd.,TCIEXP,TCIEXP.NS
TCNS Clothing Co. Ltd.,TCNSBRANDS,TCNSBRANDS.NS
TTK Prestige Ltd.,TTKPRESTIG,TTKPRESTIG.NS
TV18 Broadcast Ltd.,TV18BRDCST,TV18BRDCST.NS
TVS Motor Company Ltd.,TVSMOTOR,TVSMOTOR.NS
Tanla Platforms Ltd.,TANLA,TANLA.NS
Tata Chemicals Ltd.,TATACHEM,TATACHEM.NS
Tata Coffee Ltd.,TATACOFFEE,TATACOFFEE.NS
